Scale;Number of Rates;Features;Number of Cases;Mean of Quality Metric;Std of Quality Metric
BVE;9;Geomorphology;5;0.029548;0.0674475180862869
BVE;9;Geomorphology;10;0.027032;0.056977021473573
BVE;9;Geomorphology;15;0.0245433333333333;0.0508037412226916
BVE;9;Geomorphology;20;0.020834;0.0429372617198628
BVE;9;Geomorphology;25;0.0201972;0.0416166686816712
BVE;9;Saturation;5;0.0079499999999999;0.0291521440034862
BVE;9;Saturation;10;0.008274;0.0302580059488393
BVE;9;Saturation;15;0.00783;0.0301373704891452
BVE;9;Saturation;20;0.008679;0.0315812596170577
BVE;9;Saturation;25;0.0087599999999999;0.0318386934405292
BVE;9;Geomorphology + Vulnerability;5;0.014646;0.0324449793342513
BVE;9;Geomorphology + Vulnerability;10;0.015764;0.0335207443831428
BVE;9;Geomorphology + Vulnerability;15;0.016646;0.0344806324961322
BVE;9;Geomorphology + Vulnerability;20;0.016131;0.0337245435699284
BVE;9;Geomorphology + Vulnerability;25;0.01616;0.0337848249958468
BVE;9;Geomorphology + Vulnerability + Saturation;5;0.019638;0.0374259128946776
BVE;9;Geomorphology + Vulnerability + Saturation;10;0.020444;0.0379592790237117
BVE;9;Geomorphology + Vulnerability + Saturation;15;0.019896;0.0374550199216785
BVE;9;Geomorphology + Vulnerability + Saturation;20;0.0199515;0.0376034459557897
BVE;9;Geomorphology + Vulnerability + Saturation;25;0.02032;0.0377133610276252
BVE;30;Geomorphology;5;0.040538;0.0922019118890709
BVE;30;Geomorphology;10;0.038612;0.0843266948006383
BVE;30;Geomorphology;15;0.032768;0.0764850367239675
BVE;30;Geomorphology;20;0.024502;0.0506749247261404
BVE;30;Geomorphology;25;0.01764;0.0314768232196325
BVE;30;Saturation;5;0.029048;0.044557218225558
BVE;30;Saturation;10;0.025345;0.0425655491565655
BVE;30;Saturation;15;0.0249833333333333;0.0421290286566822
BVE;30;Saturation;20;0.025488;0.0425640559157606
BVE;30;Saturation;25;0.025;0.0419409108150979
BVE;30;Geomorphology + Vulnerability;5;0.041172;0.0954985571409327
BVE;30;Geomorphology + Vulnerability;10;0.017459;0.0308358284954369
BVE;30;Geomorphology + Vulnerability;15;0.0173406666666666;0.0312228646916895
BVE;30;Geomorphology + Vulnerability;20;0.017262;0.0312107089954714
BVE;30;Geomorphology + Vulnerability;25;0.01732;0.0311444633923912
BVE;30;Geomorphology + Vulnerability + Saturation;5;0.0309519999999999;0.054923234573357
BVE;30;Geomorphology + Vulnerability + Saturation;10;0.031524;0.057625128407666
BVE;30;Geomorphology + Vulnerability + Saturation;15;0.0295446666666666;0.0549955877462506
BVE;30;Geomorphology + Vulnerability + Saturation;20;0.0300255;0.0554977913952438
BVE;30;Geomorphology + Vulnerability + Saturation;25;0.0298;0.0552427370791853
SUB;9;Geomorphology;5;0.046478;0.1396058362533601
SUB;9;Geomorphology;10;0.035473;0.1014212860843324
SUB;9;Geomorphology;15;0.032998;0.1173702148303961
SUB;9;Geomorphology;20;0.0281195;0.1006438185868859
SUB;9;Geomorphology;25;0.022474;0.0808001616582541
SUB;9;Geomorphology;30;0.017448;0.0660822161855971
SUB;9;Geomorphology;35;0.0174645714285714;0.0685500580532361
SUB;9;Geomorphology;40;0.01325825;0.0533652607689449
SUB;9;Geomorphology;45;0.0107144444444444;0.0405279109890431
SUB;9;Geomorphology + Vulnerability;5;0.050978;0.1526197808804612
SUB;9;Geomorphology + Vulnerability;10;0.0331859999999999;0.1002870749598371
SUB;9;Geomorphology + Vulnerability;15;0.0333686666666666;0.103878702107581
SUB;9;Geomorphology + Vulnerability;20;0.0276845;0.0900014497647121
SUB;9;Geomorphology + Vulnerability;25;0.0228448;0.0796027983990512
SUB;9;Geomorphology + Vulnerability;30;0.019985;0.0727568240213017
SUB;9;Geomorphology + Vulnerability;35;0.0172131428571428;0.0664200808607684
SUB;9;Geomorphology + Vulnerability;40;0.01564575;0.0608787463482741
SUB;9;Geomorphology + Vulnerability;45;0.013034;0.0525430612778171
SUB;30;Geomorphology;5;0.045804;0.1005325896612635
SUB;30;Geomorphology;10;0.0473569999999999;0.1086479707633787
SUB;30;Geomorphology;15;0.0357093333333333;0.079079071269767
SUB;30;Geomorphology;20;0.034179;0.0779827029475126
SUB;30;Geomorphology;25;0.0293872;0.0710732444465566
SUB;30;Geomorphology;30;0.0280776666666666;0.0672518572325123
SUB;30;Geomorphology;35;0.0262968571428571;0.0664646040394618
SUB;30;Geomorphology;40;0.0261425;0.0648819173094476
SUB;30;Geomorphology;45;0.0253366666666666;0.061333063314623
SUB;30;Geomorphology + Vulnerability;5;0.048774;0.1225265641565126
SUB;30;Geomorphology + Vulnerability;10;0.0456479999999999;0.1074754488057621
SUB;30;Geomorphology + Vulnerability;15;0.0353046666666666;0.078422665802404
SUB;30;Geomorphology + Vulnerability;20;0.035961;0.0787644874229497
SUB;30;Geomorphology + Vulnerability;25;0.0287608;0.0685725629049986
SUB;30;Geomorphology + Vulnerability;30;0.0280043333333333;0.0666830286846327
SUB;30;Geomorphology + Vulnerability;35;0.02629;0.0649669424729663
SUB;30;Geomorphology + Vulnerability;40;0.025244;0.0649573588133015
SUB;30;Geomorphology + Vulnerability;45;0.0251877777777777;0.064511095217589
